name	town	access	lat	lng	address	source
Red Tail Golf Club	Devens	public	42.5335	-71.60081	15 Bulge Rd	golfmassachusetts
Reedy Meadow Golf Course	Lynnfield	public				local
Rehoboth Country Club	Rehoboth	public	41.865533	-71.257574	155 Perryville Rd	golfmassachusetts
Renaissance Country Club	Haverhill	private	42.778687	-71.038433	377 Kenoza St	golfmassachusetts
Reservation Golf Club	Mattapoisett	private	41.658078	-70.82797	10 Reservation Rd	golfmassachusetts
Ridder Farm Golf & Country Club	East Bridgewater	public	42.061702	-70.917424	300 Oak St	golfmassachusetts
Ridge Club	South Sandwich	private	41.684625	-70.448018	70 Country Club Rd	golfmassachusetts
River Bend Country Club	West Bridgewater	public	42.019532	-70.995165	250 East Center St	golfmassachusetts
River Run Golf Club	Brookfield	public				local
Rochester Golf Club	Rochester	public	41.738559	-70.838823	Roundsville Rd Route 105	golfmassachusetts
Rockland Golf Course	Rockland	public	42.126012	-70.924432	276 Plain St	golfmassachusetts
Rockport Golf Club	Rockport	semi	42.6525	-70.60508	Country Club Rd	golfmassachusetts
Rolling Green Golf Course	Andover	public	42.649369	-71.181922	311 Lowell St	golfmassachusetts
Rowley Country Club	Rowley	semi	42.718399	-70.935391	235 Dodge Rd	golfmassachusetts
Royal Crest Country Club	Walpole	private	42.142577	-71.237264	10 Rainbow Pond Dr	golfmassachusetts
Sagamore Spring Golf Club	Lynnfield	public	42.559708	-71.040441	1287 Main St	golfmassachusetts
Salem Municipal Golf Course	Salem	muni	42.50642	-70.90582	Wilson St	golfmassachusetts
Sandwich Hollows Golf Club	East Sandwich	semi	41.72756	-70.45034	Round Hill Rd	golfmassachusetts
Sandy Burr Country Club	Wayland	public				local
Sankaty Head Golf Club	Siasconset	private	41.2621	-69.9667	Pulpise Rd	golfmassachusetts
Sassamon Trace	Natick	public	42.26717	-71.359053	233 S Main St	golfmassachusetts
Scituate Country Club	Scituate	semi	42.177152	-70.74461	91 Old Driftway Rd	golfmassachusetts
Segregansett Country Club	Taunton	private	41.877267	-71.175156	2 Gulliver Rd	golfmassachusetts
Settlers Crossing Golf Course	Lunenburg	public				local
Shaker Farms Country Club	Westfield	semi	42.08738	-72.72589	Shaker Rd	golfmassachusetts
Shaker Hills Golf Club	Harvard	public	42.54502	-71.555555	146 Shaker Rd	golfmassachusetts
Sharon Country Club	Sharon	private	42.111516	-71.166542	149 E St	golfmassachusetts
Shining Rock Golf Club	Northbridge	public				local
Siasconset Golf Course	Siasconset	public	41.2621	-69.9667	Milestone Rd	golfmassachusetts
South Shore Country Club	Hingham	public				local
Southampton Country Club	Southampton	public	42.210855	-72.72696	329 College Hwy	golfmassachusetts
Southborough Golf Club	Southborough	public				local
Southers Marsh Golf Club	Plymouth	public	41.911543	-70.689874	30 Southers Marsh Ln	golfmassachusetts
Southwick Country Club	Southwick	public	42.077001	-72.768612	739 College Hwy	golfmassachusetts
Spring Valley Country Club	Sharon	private	42.151309	-71.188771	25 Tiot St	golfmassachusetts
Springfield Country Club	West Springfield	private	42.122835	-72.627197	1375 Elm St	golfmassachusetts
Squirrel Run Country Club	Plymouth	public	41.93503	-70.7226	Carver Rd	golfmassachusetts
St. Anne Country Club	Feeding Hills	public	42.056248	-72.664935	781 Shoemaker Ln	golfmassachusetts
St. Marks Golf Club at St Marks School	Southborough	semi	42.295113	-71.527222	32 Cordaville Rd Rte 85	golfmassachusetts
Sterling Country Club	Sterling	public				golfmassachusetts
Stockbridge Golf Club	Stockbridge	private	42.28229	-73.31214	Main St	golfmassachusetts
Stone - E - Lea Golf Course	Attleboro	public	41.914637	-71.323406	1411 County St	golfmassachusetts
Stoneham Oaks Golf Course	Stoneham	public	42.480703	-71.110815	101 Montvale Ave	golfmassachusetts
Stow Acres Country Club	Stow	public	42.416241	-71.526924	58 Randall Rd	golfmassachusetts
Stowaway Golf Course	Stow	public	42.424781	-71.476436	121 White Pond Rd	golfmassachusetts
Strawberry Valley Golf Club	Abington	public	42.096643	-70.950341	164 Washington St	golfmassachusetts
Sun Valley Golf Course	Rehoboth	public				local
Swansea Country Club	Swansea	semi	41.761699	-71.269178	299 Market St	golfmassachusetts
Swanson Meadows Golf Course	North Billerica	public				local
Taconic Golf Club	Williamstown	semi	42.7094	-73.20216	Meacham St	golfmassachusetts
Tatnuck Country Club	Worcester	private	42.279015	-71.863444	1222 Pleasant St	golfmassachusetts
Tedesco Country Club	Marblehead	private	42.485723	-70.894072	154 Tedesco St	golfmassachusetts
Tekoa Country Club	Westfield	public	42.130779	-72.783121	459 Russell Rd	golfmassachusetts
Tewksbury Country Club	Tewksbury	public	42.594544	-71.206582	85 Livingston St	golfmassachusetts
The Blandford Club	Blandford	private	42.19138	-72.93361	N St	golfmassachusetts
The Brookside Golf Club	Bourne	public	41.722129	-70.586739	1 Brigadoon Rd	golfmassachusetts
The Cape Club	North Falmouth	semi	41.620952	-70.622638	125 Falmouth Woods Road	golfmassachusetts
The Club at New Seabury	Mashpee	resort	41.559688	-70.480626	95 Shore Drive West	golfmassachusetts
The Club at Southport	Mashpee	public				local
The International Golf Club	Bolton	private	42.431629	-71.643496	159 Ballville Rd	golfmassachusetts
The Kittansett Club	Marion	private	41.677956	-70.717102	11 Point Rd	golfmassachusetts
The Meadow At Peabody	Peabody	public	42.515642	-70.940456	80 Granite St	golfmassachusetts
The Meadows Golf Course	Greenfield	public	42.57352	-72.59643	Deerfield St	golfmassachusetts
The Milton-Hoosic Club	Canton	private	42.204404	-71.138601	70 Green Lodge St	golfmassachusetts
The Nantucket Golf Club	Siasconset	private	41.262273	-69.984616	250 Milestone Rd	golfmassachusetts
The New England Country Club	Bellingham	public	42.020377	-71.485607	180 Paine St	golfmassachusetts
The Ranch Golf Club	Southwick	public	42.08626	-72.77464	100 Ranch Club Rd	golfmassachusetts
The Tournament Players Club of Boston	Norton	private	41.982975	-71.223297	405 Arnold Palmer Blvd.	golfmassachusetts
The Woods of Westminster	Westminster	public	42.583766	-71.873856	90 Bean Porridge Hill Rd	golfmassachusetts
Thomas Memorial Golf & Country Club	Turners Falls	semi	42.59352	-72.55936	Country Club Ln	golfmassachusetts
Thorny Lea Golf Club	Brockton	private	42.073384	-71.048545	159 Torrey St	golfmassachusetts
Touisset Country Club	Swansea	public				local
Townsend Ridge Country Club	Townsend	public	42.668509	-71.721424	40 Scales Ln	golfmassachusetts
Trull Brook Golf Course	Tewksbury	public	42.648617	-71.265887	170 River Rd	golfmassachusetts
Turner Hill Golf and Racquet Club	Ipswich	private	42.724001	-70.86625	5 Manor House Lane	golfmassachusetts
Twin Brooks Golf Course	Hyannis	public				local
Twin Springs Golf Course	Bolton	public	42.440284	-71.652945	295 Wilder Rd	golfmassachusetts
